,X1,X2,X3,X4,X5,X12,X13
284,100000,2,1,2,28,53494,52656
286,210000,2,1,1,46,110346,41986
287,210000,1,1,2,38,60502,62804
288,440000,2,2,1,46,180641,181557
289,100000,2,2,2,25,70896,71678
290,240000,2,2,1,46,8751,9900
291,280000,1,1,2,33,898,898
293,30000,1,2,1,43,1700,2610
294,10000,1,2,2,27,7015,10227
296,200000,1,1,2,31,194353,197344
297,120000,2,2,1,29,1686,657
298,210000,2,2,1,36,143225,142996
299,280000,2,1,1,36,58983,60788
303,50000,2,3,1,40,49941,51213
304,20000,2,1,2,25,11968,14564
305,200000,2,1,2,27,871,665
306,110000,2,2,2,26,432,3220
307,500000,2,2,1,36,10483,23956
309,30000,1,3,1,55,9720,10613
310,60000,2,1,2,27,20847,13801
311,400000,2,2,1,38,3697,3600
312,180000,2,2,1,34,143301,146333
313,20000,1,1,2,40,10934,13738
314,200000,2,3,1,49,52439,51040
315,100000,1,1,2,27,55734,52557
316,60000,1,2,2,23,49507,33282
317,110000,2,2,2,36,47819,48947
319,50000,2,3,1,46,48522,50955
321,110000,1,2,2,29,58362,56598
322,340000,2,1,2,27,172180,180140
323,50000,1,2,2,24,1399,2441
324,230000,2,2,1,28,26361,18826
325,360000,2,2,2,32,93029,94054
327,220000,2,2,1,41,650,650
328,60000,2,2,1,34,24898,27976
329,340000,1,2,1,55,50396,44665
332,130000,2,2,2,40,9559,12394
333,60000,2,1,2,28,10540,10232
335,20000,1,1,2,27,20571,19089
336,190000,2,1,2,28,143464,146943
337,260000,2,1,2,30,156882,160246
339,50000,2,2,1,31,46512,47716
340,120000,2,1,2,34,882,6531
341,240000,2,2,2,30,92,92
342,50000,1,2,2,36,5916,6172
343,200000,2,1,2,29,2393,183
344,180000,1,1,1,39,274731,281713
345,180000,2,1,2,26,145403,138232
347,100000,2,2,2,26,1370,4192
348,50000,2,2,2,29,47081,49316
349,140000,2,2,2,31,138119,137950
350,30000,2,2,2,26,17893,19012
351,90000,1,1,2,26,39128,20473
354,80000,2,2,2,43,77057,78102
355,50000,1,3,1,58,15899,18720
356,180000,1,2,1,45,27679,28422
357,240000,2,2,2,26,141315,128940
358,380000,1,2,2,34,194314,179206
359,110000,2,4,2,24,83755,77431
360,260000,1,1,1,34,49657,291
362,320000,2,2,2,30,71305,71151
363,50000,1,2,2,32,45734,44741
365,230000,2,1,2,35,761,300
367,50000,2,2,1,61,47166,49396
368,10000,1,2,2,24,2887,1923
370,20000,2,2,1,32,20631,20010
373,90000,2,1,2,34,34302,35089
374,30000,1,3,3,54,22987,22298
375,180000,1,1,1,46,173267,174590
376,30000,1,3,1,58,19143,20168
377,30000,1,2,1,43,20518,19901
378,140000,2,1,2,28,10833,14446
379,210000,1,1,2,30,69937,71906
380,50000,1,2,2,31,20526,15129
381,130000,2,2,2,29,89055,90780
382,50000,2,2,1,37,1894,3200
383,140000,1,3,1,36,100594,78372
384,170000,2,2,2,28,2948,3848
385,80000,1,2,2,25,22619,31429
388,80000,1,3,1,73,63144,65631
389,150000,1,2,1,43,153249,154049
390,260000,1,1,1,30,1131,291
393,310000,1,2,1,44,103797,91989
394,140000,2,2,2,29,20110,17102
395,360000,1,1,1,51,38000,25000
396,140000,2,1,2,27,142428,144105
397,100000,1,1,2,38,40810,42653
399,210000,2,2,1,30,104701,106134
400,120000,2,2,2,25,120298,120822
401,240000,1,1,2,29,156362,132280
402,60000,2,3,3,42,41322,29091
403,150000,1,1,2,41,1464,2084
404,30000,1,2,1,48,27879,28870
405,160000,2,1,2,29,160432,163916
406,200000,1,1,1,52,3858,2690
407,120000,2,2,1,25,26476,21393
408,500000,1,1,1,37,507062,491956
409,320000,2,1,2,27,55607,62893
410,280000,1,1,2,31,168382,175646
411,60000,2,1,2,23,29332,28577
414,230000,2,2,2,27,13668,12647
415,480000,2,3,1,41,14867,26665
416,50000,2,3,1,35,22500,5000
417,200000,2,1,2,31,7184,14845
418,50000,2,1,2,30,14811,16262
419,50000,1,2,1,48,44338,43048
421,30000,1,1,2,24,25265,26354
422,440000,2,1,2,29,169661,167199
423,230000,2,2,2,38,10237,2795
424,200000,1,2,1,38,104978,105924
425,490000,2,2,1,30,192586,197967
427,20000,2,3,2,49,9551,12081
428,170000,2,1,2,31,199,199
429,70000,1,1,2,27,70119,68536
430,210000,2,2,2,33,212601,177946
431,90000,2,2,2,25,91894,71732
433,110000,2,1,2,29,48123,49537
434,580000,2,1,1,36,159760,162189
435,360000,1,3,1,55,9210,8485
436,270000,2,2,1,32,234752,233036
438,110000,1,3,1,37,61807,62499
439,50000,2,1,1,25,51044,50231
440,80000,2,1,2,23,77024,73281
441,50000,1,2,2,23,350,350
442,100000,1,1,2,32,83831,85586
444,200000,2,1,2,27,122923,124653
446,220000,1,2,2,34,37304,33304
447,160000,2,1,2,28,146433,107604
448,180000,2,1,1,53,46122,1260
449,200000,1,4,1,42,38564,38246
450,140000,2,3,1,30,96304,98007
454,200000,2,1,2,26,156786,179
455,80000,1,2,2,42,78129,28202
456,40000,1,2,2,39,40034,36549
457,130000,1,3,2,39,71034,69329
458,50000,1,1,2,32,23974,24131
459,230000,2,2,1,41,819,18163
460,70000,1,2,1,48,50927,39883
461,180000,2,2,1,38,152510,151651
462,80000,2,2,1,36,1689,8638
463,290000,2,2,2,26,20807,99860
464,230000,2,1,2,28,30141,131255
466,230000,1,1,1,59,208459,206331
467,220000,1,1,2,38,212795,211043
468,230000,1,2,2,32,28114,28006
469,500000,1,2,1,38,59372,49677
470,90000,2,1,1,41,6160,3274
473,180000,1,2,1,34,2927,2790
474,60000,1,3,1,38,29295,30321
475,120000,2,2,1,32,4158,2682
476,60000,2,2,2,29,27199,28358
477,50000,1,1,2,44,50893,28527
478,70000,2,2,1,37,66759,68200
479,500000,2,1,1,38,600,300
481,250000,2,2,1,40,44930,137101
482,140000,1,2,2,26,131367,146193
483,70000,2,2,2,28,41264,41799
484,90000,1,3,1,48,77604,73317
485,100000,2,2,1,43,2491,1709
486,190000,1,2,1,31,177554,180633
487,230000,2,1,1,42,6865,15111
488,320000,1,2,1,39,93768,91523
489,220000,2,2,1,36,396,1648
490,260000,2,1,1,34,16426,6088
492,30000,2,2,1,43,28703,26622
493,260000,1,2,2,30,98560,100980
494,170000,2,2,2,28,28304,17616
495,80000,2,1,1,28,8574,9434
496,50000,1,1,1,41,508,672
497,200000,2,3,2,47,203183,202961
498,20000,1,2,2,23,16440,20417
500,20000,1,1,1,38,15912,17272
501,30000,2,2,1,38,20344,21705
502,90000,2,2,1,35,23132,22474
504,130000,2,1,1,33,19161,20544
506,160000,1,1,2,35,396,396
508,180000,2,2,2,28,42238,38741
509,80000,2,2,1,30,21507,13207
511,130000,1,2,1,31,1261,1261
512,120000,2,2,2,35,240,240
513,360000,1,1,2,28,20223,52962
514,50000,1,2,2,23,29509,30741
515,20000,2,2,2,23,18355,20259
516,100000,1,3,1,56,94265,53376
517,70000,1,3,1,32,68739,67629
518,50000,1,2,1,47,13917,16695
519,10000,2,2,2,22,10250,8558
520,290000,2,1,1,34,93844,97708
521,30000,2,1,1,31,16496,17522
523,360000,1,1,2,28,1210,820
524,140000,2,2,1,42,111496,112133
525,210000,2,1,2,32,67374,69489
526,220000,2,2,2,27,1692,13250
527,20000,1,2,2,27,18649,18066
528,620000,2,2,1,45,160837,156839
530,20000,2,2,2,21,18763,14410
531,50000,1,2,2,23,34549,18552
532,50000,1,2,3,30,97538,49187
533,10000,1,2,2,46,4073,6394
534,100000,2,3,1,50,53849,55030
535,50000,1,1,2,26,2411,3059
536,60000,1,2,2,25,480,1675
538,120000,1,2,1,44,92007,87939
539,50000,2,1,2,52,3257,4166
540,110000,2,2,1,40,92638,90905
541,200000,2,1,2,38,399,0
543,30000,2,2,1,36,28778,28039
544,100000,2,1,2,24,30092,30486
545,360000,2,1,1,34,12339,10138
546,390000,2,1,2,31,50620,43220
549,230000,2,1,2,28,2403,7357
550,120000,1,1,2,27,52437,50473
551,100000,1,3,1,52,4657,6068
553,50000,1,1,1,56,50715,51073
555,40000,2,2,2,24,35285,36714
556,630000,2,2,1,47,37850,68187
557,160000,2,1,1,33,5233,5393
558,110000,2,2,2,32,65299,74565
559,20000,1,2,2,29,17208,18419
560,210000,2,3,1,53,57192,58472
561,270000,1,1,2,34,5780,12006
562,360000,2,2,2,52,640,2113
563,60000,2,2,1,42,631,2790
564,360000,1,2,2,38,108351,111201
565,390000,2,1,2,45,834,155
566,250000,2,3,2,35,7244,8472
567,90000,2,1,2,24,13141,14526
568,360000,1,1,2,28,7071,401
569,50000,1,3,2,26,35429,30626
570,270000,2,1,1,40,18751,5706
571,200000,2,1,2,29,55788,8360
572,50000,2,2,2,23,49809,50364
573,350000,1,1,2,33,10900,10478
574,160000,2,2,2,60,3128,5156
575,80000,2,3,1,49,3367,4641
576,290000,1,1,1,53,279610,282024
577,270000,2,1,2,28,475,475
578,80000,1,1,2,31,5994,32223
579,50000,1,2,2,36,5197,6015
580,30000,1,2,1,35,7797,2687
582,90000,1,2,2,33,35785,29155
583,160000,1,1,2,26,1433,3746
584,80000,2,3,2,53,77766,77954
585,50000,1,2,2,42,50300,50898
586,20000,2,1,2,25,14603,15661
588,210000,1,3,2,25,8817,23634
589,130000,2,2,2,29,131575,130931
590,260000,2,2,1,31,5841,23194
591,230000,2,1,1,30,30341,25981
592,160000,1,1,2,34,83255,83912
593,50000,1,1,1,35,34976,6018
594,80000,1,2,1,32,48747,45955
595,110000,1,3,2,46,56700,57875
596,200000,1,1,1,43,144678,140804
