"","X12","X13","X4"
"284","83755","77431","2"
"285","49657","291","1"
"286","71305","71151","2"
"287","45734","44741","2"
"288","761","300","2"
"289","47166","49396","1"
"290","2887","1923","2"
"291","20631","20010","1"
"292","34302","35089","2"
"293","22987","22298","3"
"294","173267","174590","1"
"295","19143","20168","1"
"296","20518","19901","1"
"297","10833","14446","2"
"298","69937","71906","2"
"299","20526","15129","2"
"300","89055","90780","2"
"301","1894","3200","1"
"302","100594","78372","1"
"303","2948","3848","2"
"304","22619","31429","2"
"305","63144","65631","1"
"306","153249","154049","1"
"307","1131","291","1"
"308","103797","91989","1"
"309","20110","17102","2"
"310","38000","25000","1"
"311","142428","144105","2"
"312","40810","42653","2"
"313","104701","106134","1"
"314","120298","120822","2"
"315","156362","132280","2"
"316","41322","29091","3"
"317","1464","2084","2"
"318","27879","28870","1"
"319","160432","163916","2"
"320","3858","2690","1"
"321","26476","21393","1"
"322","507062","491956","1"
"323","55607","62893","2"
"324","168382","175646","2"
"325","29332","28577","2"
"326","13668","12647","2"
"327","14867","26665","1"
"328","22500","5000","1"
"329","7184","14845","2"
"330","14811","16262","2"
"331","44338","43048","1"
"332","25265","26354","2"
"333","169661","167199","2"
"334","10237","2795","2"
"335","104978","105924","1"
"336","192586","197967","1"
"337","9551","12081","2"
"338","199","199","2"
"339","70119","68536","2"
"340","212601","177946","2"
"341","91894","71732","2"
"342","48123","49537","2"
"343","159760","162189","1"
"344","9210","8485","1"
"345","234752","233036","1"
"346","61807","62499","1"
"347","51044","50231","1"
"348","77024","73281","2"
"349","350","350","2"
"350","83831","85586","2"
"351","122923","124653","2"
"352","37304","33304","2"
"353","146433","107604","2"
"354","46122","1260","1"
"355","38564","38246","1"
"356","96304","98007","1"
"357","156786","179","2"
"358","78129","28202","2"
"359","40034","36549","2"
"360","71034","69329","2"
"361","23974","24131","2"
"362","819","18163","1"
"363","50927","39883","1"
"364","152510","151651","1"
"365","1689","8638","1"
"366","20807","99860","2"
"367","30141","131255","2"
"368","208459","206331","1"
"369","212795","211043","2"
"370","28114","28006","2"
"371","59372","49677","1"
"372","6160","3274","1"
"373","2927","2790","1"
"374","29295","30321","1"
"375","4158","2682","1"
"376","27199","28358","2"
"377","50893","28527","2"
"378","66759","68200","1"
"379","600","300","1"
"380","44930","137101","1"
"381","131367","146193","2"
"382","41264","41799","2"
"383","77604","73317","1"
"384","2491","1709","1"
"385","177554","180633","1"
"386","6865","15111","1"
"387","93768","91523","1"
"388","396","1648","1"
"389","16426","6088","1"
"390","28703","26622","1"
"391","98560","100980","2"
"392","28304","17616","2"
"393","8574","9434","1"
"394","508","672","1"
"395","203183","202961","2"
"396","16440","20417","2"
"397","15912","17272","1"
"398","20344","21705","1"
"399","23132","22474","1"
"400","19161","20544","1"
"401","396","396","2"
"402","42238","38741","2"
"403","21507","13207","1"
"404","1261","1261","1"
"405","240","240","2"
"406","20223","52962","2"
"407","29509","30741","2"
"408","18355","20259","2"
"409","94265","53376","1"
"410","68739","67629","1"
"411","13917","16695","1"
"412","10250","8558","2"
"413","93844","97708","1"
"414","16496","17522","1"
"415","1210","820","2"
"416","111496","112133","1"
"417","67374","69489","2"
"418","1692","13250","2"
"419","18649","18066","2"
"420","160837","156839","1"
"421","18763","14410","2"
"422","34549","18552","2"
"423","97538","49187","3"
"424","4073","6394","2"
"425","53849","55030","1"
"426","2411","3059","2"
"427","480","1675","2"
"428","92007","87939","1"
"429","3257","4166","2"
"430","92638","90905","1"
"431","399","0","2"
"432","28778","28039","1"
"433","30092","30486","2"
"434","12339","10138","1"
"435","50620","43220","2"
"436","2403","7357","2"
"437","52437","50473","2"
"438","4657","6068","1"
"439","50715","51073","1"
"440","35285","36714","2"
"441","37850","68187","1"
"442","5233","5393","1"
"443","65299","74565","2"
"444","17208","18419","2"
"445","57192","58472","1"
"446","5780","12006","2"
"447","640","2113","2"
"448","631","2790","1"
"449","108351","111201","2"
"450","834","155","2"
"451","7244","8472","2"
"452","13141","14526","2"
"453","7071","401","2"
"454","35429","30626","2"
"455","18751","5706","1"
"456","55788","8360","2"
"457","49809","50364","2"
"458","10900","10478","2"
"459","3128","5156","2"
"460","3367","4641","1"
"461","279610","282024","1"
"462","475","475","2"
"463","5994","32223","2"
"464","5197","6015","2"
"465","7797","2687","1"
"466","35785","29155","2"
"467","1433","3746","2"
"468","77766","77954","2"
"469","50300","50898","2"
"470","14603","15661","2"
"471","8817","23634","2"
"472","131575","130931","2"
"473","5841","23194","1"
"474","30341","25981","1"
"475","83255","83912","2"
"476","34976","6018","1"
"477","48747","45955","1"
"478","56700","57875","2"
"479","144678","140804","1"
